id,utterance,logical_form
538,"navigate to the <room> , locate someone , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
539,"navigate to the <room> , look for a man , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
540,"Robot please go to the <location> , meet <name> , and escort them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
541,"tell me which are the three heaviest <category> on the <location>
","( say ( lambda $1 e ( heaviest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
542,"Could you lead the <object> from the <location> to the <location>
","UNKNOWN
"
543,"Please bring me the object above the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( above $1 $2 ) ) ) "" <location> "" )
"
544,"tell me which are the three smallest <category> on the <location>
","( say ( lambda $1 e ( smallest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
545,"go to the <room> , locate a person standing , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
546,"Could you grasp the <object> from the <location> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
547,"meet <name> at the <location> and accompany them to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
548,"Could you please take <name> from the <location> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
549,"Could you navigate to the <location> , meet <name> , and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
550,"look for a person lying down in the <room> and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
551,"go to the <room> , find a person sitting , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
552,"Could you please bring me the left most object from the <location>
","( bring ( lambda $1 e ( leftmost $1 "" <location> "" ) ) )
"
553,"navigate to the <room> , look for <name> , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <room> "" ) ) )
"
554,"navigate to the <location> , find the <object> , and give it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
555,"Could you please give me the right most object from the <location>
","( bring ( lambda $1 e ( rightmost $1 "" <location> "" ) ) )
"
556,"meet <name> at the <location> , follow them , and go to the <room>
","( sequence ( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) ) ( go "" <room> "" ) )
"
557,"Could you please lead <name> from the <location> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
558,"go to the <room> , look for a female person , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
559,"navigate to the <room> , find a male person , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
560,"go to the <room> , locate a person standing , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
561,"navigate to the <room> , locate a person , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( at $1 "" <room> "" ) ) )
"
562,"go to the <room> , look for a person sitting , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
563,"go to the <room> , find a person lying down , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
564,"Robot please Tell me how many <object> there are on the <location>
","( say ( count ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) ) )
"
565,"navigate to the <room> , look for a girl , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
566,"Could you navigate to the <location> , meet <name> , and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
567,"Could you give me the object above the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( above $1 $2 ) ) ) "" <location> "" )
"
568,"Could you please go to the <location> , meet <name> , and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
569,"Robot please deliver <object> to the <gesture> person in the <room>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
570,"Could you take the <category> from the <location> to the <location>
","UNKNOWN
"
571,"go to the <room> , locate a person <gesture> , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
572,"Could you please guide <name> from the <location> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
573,"Could you give me the object under the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( below $1 $2 ) ) ) "" <location> "" )
"
574,"navigate to the <room> , locate a male person , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
575,"Please accompany the <object> from the <location> to the <location>
","UNKNOWN
"
576,"Could you lead the <category> from the <location> to the <location>
","UNKNOWN
"
577,"go to the <room> , look for a person sitting , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
578,"grasp the <object> from the <location> and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
579,"Could you please bring me the right most object from the <location>
","( bring ( lambda $1 e ( rightmost $1 "" <location> "" ) ) )
"
580,"go to the <room> , locate a person lying down , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
581,"get the <object> from the <location> and place it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
582,"go to the <location> , look for the <object> , and deliver it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
583,"Could you escort the <object> from the <location> to the <location>
","UNKNOWN
"
584,"bring me the object at the left of the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( left_of $1 $2 ) ) ) "" <location> "" )
"
585,"Robot please accompany <name> from the <location> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
586,"navigate to the <location> , find the <object> , and bring it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
587,"take <name> to the <location> , you can find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
588,"Could you please give me the largest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( largest $1 ) ) "" <location> "" )
"
589,"navigate to the <room> , look for a woman , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
590,"take <name> to the <location> , you may find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
591,"Robot please get the <object> from the <location> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
592,"go to the <room> , look for a male person , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
593,"lead <name> to the <location> , you can find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
594,"go to the <room> , find a person standing , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
595,"go to the <room> , look for a person standing , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
596,"bring me the object at the right of the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( right_of $1 $2 ) ) ) "" <location> "" )
"
597,"Could you go to the <location> , meet the <category> , and follow it
","UNKNOWN
"
598,"go to the <room> , find a person <gesture> , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
599,"navigate to the <room> , find a female person , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
600,"go to the <location> , meet <name> , and take them to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
601,"Could you navigate to the <location> , meet <name> , and escort them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
602,"lead <name> to the <location> , you will find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
603,"Could you please give me the lightest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( lightest $1 ) ) "" <location> "" )
"
604,"Robot please lead the <object> from the <location> to the <location>
","UNKNOWN
"
605,"Could you bring me the object above the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( above $1 $2 ) ) ) "" <location> "" )
"
606,"navigate to the <location> , locate the <object> , and give it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
607,"Robot please take the <object> from the <location> to the <location>
","UNKNOWN
"
608,"Please navigate to the <location> , meet <name> , and accompany them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
609,"navigate to the <room> , find a person sitting , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
610,"Could you please give me the thinnest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( thinnest $1 ) ) "" <location> "" )
"
611,"Could you please give <object> to the <gesture> person in the <room>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
612,"Could you pick up the <object> from the <location> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
613,"Could you guide the <category> from the <location> to the <location>
","UNKNOWN
"
614,"guide <name> to the <location> , you can find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
615,"go to the <location> , meet <name> , and lead them to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
616,"Robot please go to the <location> , meet <name> , and accompany them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
617,"take <name> to the <location> , you will find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
618,"Could you please go to the <location> , meet <name> , and guide them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
619,"go to the <room> , locate a person lying down , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
620,"go to the <room> , locate a person sitting , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
621,"Could you please give me the smallest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( smallest $1 ) ) "" <location> "" )
"
622,"Could you please bring me the biggest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( biggest $1 ) ) "" <location> "" )
"
623,"Could you bring me the object under the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( below $1 $2 ) ) ) "" <location> "" )
"
624,"navigate to the <room> , locate a male person , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
625,"Please tell me which are the three largest objects on the <location>
","( say ( lambda $1 e ( largest $1 3 ) ( at $1 "" <location> "" ) ) )
"
626,"Could you please escort <name> from the <location> to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
627,"Could you please bring me the largest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( largest $1 ) ) "" <location> "" )
"
628,"pick up the <object> from the <location> and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
629,"Could you escort the <category> from the <location> to the <location>
","UNKNOWN
"
630,"navigate to the <room> , find a male person , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
631,"Please bring me the object on top of the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( on_top_of $1 $2 ) ) ) "" <location> "" )
"
632,"Robot please navigate to the <location> , meet <name> , and lead them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
633,"Please tell me which are the three lightest objects on the <location>
","( say ( lambda $1 e ( lightest $1 3 ) ( at $1 "" <location> "" ) ) )
"
634,"Robot please guide the <object> from the <location> to the <location>
","UNKNOWN
"
635,"navigate to the <room> , locate a female person , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
636,"Could you please bring me the thinnest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( thinnest $1 ) ) "" <location> "" )
"
637,"Robot please grasp the <object> from the <location> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
638,"escort <name> to the <location> , you can find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
639,"Please accompany the <category> from the <location> to the <location>
","UNKNOWN
"
640,"Could you please bring me the lightest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( lightest $1 ) ) "" <location> "" )
"
641,"navigate to the <location> , find the <object> , and deliver it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
642,"Please navigate to the <location> , meet the <object> , and follow it
","UNKNOWN
"
643,"go to the <room> , look for a female person , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
644,"grasp the <object> from the <location> and place it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
645,"escort <name> to the <location> , you may find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
646,"Robot please go to the <location> , meet the <object> , and follow it
","UNKNOWN
"
647,"go to the <room> , look for a person lying down , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
648,"Could you please bring me the smallest <category> from the <location>
","( bring ( lambda $1 e ( is_a $1 "" <category> "" ) ( smallest $1 ) ) "" <location> "" )
"
649,"guide <name> to the <location> , you will find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
650,"go to the <room> , find a person lying down , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
651,"Could you bring me the object behind the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( behind $1 $2 ) ) ) "" <location> "" )
"
652,"go to the <room> , look for a person <gesture> , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
653,"Could you please bring <object> to the <gesture> person in the <room>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
654,"navigate to the <location> , locate the <object> , and bring it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
655,"navigate to the <room> , look for a male person , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
656,"go to the <room> , locate a person <gesture> , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
657,"navigate to the <location> , look for the <object> , and give it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
658,"Could you accompany the <object> from the <location> to the <location>
","UNKNOWN
"
659,"escort <name> to the <location> , you will find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
660,"navigate to the <room> , look for a male person , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
661,"go to the <location> , meet <name> , and follow them to the <location>
","( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
662,"Robot please give me the object under the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( below $1 $2 ) ) ) "" <location> "" )
"
663,"Could you please Tell me how many <object> there are on the <location>
","( say ( count ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) ) )
"
664,"go to the <room> , look for a person lying down , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
665,"go to the <location> , meet <name> , and escort them to the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
666,"navigate to the <room> , locate a person sitting , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
667,"navigate to the <room> , find a person standing , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
668,"navigate to the <room> , find a person <gesture> , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
669,"Robot please escort the <object> from the <location> to the <location>
","UNKNOWN
"
670,"Robot please bring me the object above the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( above $1 $2 ) ) ) "" <location> "" )
"
671,"Robot please go to the <location> , meet the <category> , and follow it
","UNKNOWN
"
672,"Could you tell me which are the three largest objects on the <location>
","( say ( lambda $1 e ( largest $1 3 ) ( at $1 "" <location> "" ) ) )
"
673,"go to the <room> , look for a person standing , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
674,"Robot please pick up the <object> from the <location> to the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
675,"navigate to the <location> , look for the <object> , and bring it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
676,"navigate to the <room> , locate a person sitting , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
677,"pick up the <object> from the <location> and place it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
678,"navigate to the <room> , find a person <gesture> , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
679,"Could you please deliver <object> to the <gesture> person in the <room>
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
680,"Please meet <name> at the <location> , follow them , and lead them back
","( lambda $1 e ( sequence ( follow ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) ( guide $1 "" current "" ) ) )
"
681,"Robot please guide the <category> from the <location> to the <location>
","UNKNOWN
"
682,"Could you tell me which are the three biggest objects on the <location>
","( say ( lambda $1 e ( biggest $1 3 ) ( at $1 "" <location> "" ) ) )
"
683,"Please tell me which are the three biggest <category> on the <location>
","( say ( lambda $1 e ( biggest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
684,"Could you give me the object on top of the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( on_top_of $1 $2 ) ) ) "" <location> "" )
"
685,"navigate to the <room> , locate a person standing , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( standing $1 ) ( at $1 "" <room> "" ) ) )
"
686,"go to the <room> , locate a person lying down , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
687,"navigate to the <room> , locate a male person , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( male $1 ) ( at $1 "" <room> "" ) ) )
"
688,"navigate to the <location> , locate the <object> , and deliver it to me
","( bring ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) )
"
689,"Please tell me which are the three largest <category> on the <location>
","( say ( lambda $1 e ( largest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
690,"go to the <location> , find the <object> , and put it on the <location>
","( put ( lambda $1 e ( is_a $1 "" <object> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
691,"navigate to the <room> , find a person lying down , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
692,"Could you bring me the object on top of the <object> from the <location>
","( bring ( lambda $1 e ( lambda $2 e ( is_a $2 "" <object> "" ) ( on_top_of $1 $2 ) ) ) "" <location> "" )
"
693,"Could you accompany the <category> from the <location> to the <location>
","UNKNOWN
"
694,"Could you navigate to the <location> , meet the <object> , and follow it
","UNKNOWN
"
695,"navigate to the <room> , find a person lying down , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( lying $1 ) ( at $1 "" <room> "" ) ) )
"
696,"Please tell me which are the three thinnest <category> on the <location>
","( say ( lambda $1 e ( thinnest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
697,"Please tell me which are the three lightest <category> on the <location>
","( say ( lambda $1 e ( lightest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
698,"navigate to the <room> , locate a person <gesture> , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
699,"meet <name> at the <location> , follow them , and navigate to the <room>
","( sequence ( follow ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) ) ( go "" <room> "" ) )
"
700,"navigate to the <room> , look for a female person , and tell <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( female $1 ) ( at $1 "" <room> "" ) ) )
"
701,"Robot please escort the <category> from the <location> to the <location>
","UNKNOWN
"
702,"Could you tell me which are the three heaviest objects on the <location>
","( say ( lambda $1 e ( heaviest $1 3 ) ( at $1 "" <location> "" ) ) )
"
703,"Could you tell me which are the three smallest objects on the <location>
","( say ( lambda $1 e ( smallest $1 3 ) ( at $1 "" <location> "" ) ) )
"
704,"go to the <room> , look for a person <gesture> , and answer a <question>
","( say ( answer "" <question> "" ) ( lambda $1 e ( person $1 ) ( is $1 "" <gesture> "" ) ( at $1 "" <room> "" ) ) )
"
705,"Please meet <name> at the <location> , follow them , and guide them back
","( lambda $1 e ( sequence ( follow ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) ( guide $1 "" current "" ) ) )
"
706,"navigate to the <room> , look for a person sitting , and say <whattosay>
","( say "" <whattosay> "" ( lambda $1 e ( person $1 ) ( sitting $1 ) ( at $1 "" <room> "" ) ) )
"
707,"Please tell me which are the three heaviest <category> on the <location>
","( say ( lambda $1 e ( heaviest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
708,"accompany <name> to the <location> , you may find them at the <location>
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) "" <location> "" )
"
709,"Please tell me which are the three smallest <category> on the <location>
","( say ( lambda $1 e ( smallest $1 3 ) ( is_a $1 "" <category> "" ) ( at $1 "" <location> "" ) ) )
"
710,"Could you please lead the <object> from the <location> to the <location>
","UNKNOWN
"
711,"Could you tell me which are the three thinnest objects on the <location>
","( say ( lambda $1 e ( thinnest $1 3 ) ( at $1 "" <location> "" ) ) )
"
712,"Could you please navigate to the <location> , meet <name> , and take them
","( guide ( lambda $1 e ( person $1 ) ( name $1 "" <name> "" ) ( at $1 "" <location> "" ) ) UNKNOWN )
"
